first_name,last_name,email,address,cin,rib,city,date_of_birth,bank_name,grade,phone,postal_code,role,som_number,image
Ahmed,El Amrani,ochampness0@bloomberg.com,78188 Transport Road,GB308566,480553233014280413860298,Rabat,1977-11-04 15:36:00,Peoples Bank,Instructor,0664684261,,1,5827081,https://randomuser.me/api/portraits/women/2.jpg
Nour,El Fassi,kwiddows1@hc360.com,9 Meadow Valley Place,AI118500,162974157867195113813100,Agadir,1984-12-18 04:51:25,National Bank,Director,0682816034,,1,6236374,https://randomuser.me/api/portraits/men/3.jpg
Aya,Benjelloun,tsimmons2@woothemes.com,08961 Fieldstone Court,YD202990,566067512948961529292926,Casablanca,1994-02-13 20:03:26,National Bank,Chairperson,0696836273,630008,1,9084361,https://randomuser.me/api/portraits/women/2.jpg
Khaled,Zidane,adaffern3@soundcloud.com,9795 Badeau Avenue,PL860230,469414237651731426302276,Meknes,1994-05-12 16:00:58,City Bank,Dean,0667728310,17004,1,2535248,https://randomuser.me/api/portraits/women/2.jpg
Ahmed,Benjelloun,aratley4@dailymail.co.uk,8096 Di Loreto Trail,UW629219,842342940903194293387001,Tetouan,1982-08-21 20:49:00,City Bank,Instructor,0662516924,,1,9544018,https://randomuser.me/api/portraits/women/2.jpg
Khaled,Bouazza,awall5@cocolog-nifty.com,1 Lawn Way,YR526025,387660122411203648749089,Kenitra,1983-03-01 09:05:52,Peoples Bank,Chairperson,0670187660,,1,0319974,https://randomuser.me/api/portraits/women/2.jpg
Mohammed,Zidane,ahainey6@jigsy.com,26314 Donald Center,VE008918,468527948910770364257350,Rabat,1980-08-28 23:06:57,First Bank,Chairperson,0628526360,,1,6164734,https://randomuser.me/api/portraits/women/2.jpg
Mohammed,El Fassi,kbourke7@cyberchimps.com,93552 Holy Cross Drive,HR939939,373390558204670574430231,Meknes,1986-10-24 09:21:22,City Bank,Researcher,0635938948,68-213,1,9787386,https://randomuser.me/api/portraits/men/1.jpg
Nour,El Amrani,tcuzen8@ustream.tv,37 Cottonwood Point,ER836569,728314459828838807475528,Marrakesh,1976-03-06 12:51:01,Community Bank,Director,0678564483,,1,4301747,https://randomuser.me/api/portraits/women/2.jpg
Mohammed,El Amrani,sscantleberry9@craigslist.org,1 Pankratz Hill,AI890805,682700955488300490879447,Tangier,1990-02-25 22:55:22,First Bank,Instructor,0691151096,,1,8959680,https://randomuser.me/api/portraits/men/1.jpg
Khaled,El Amrani,alazarea@si.edu,2301 Talisman Center,TI537064,462334236371025872187186,Meknes,1972-06-26 03:42:14,Community Bank,Researcher,0682386396,2004,1,1294269,https://randomuser.me/api/portraits/women/2.jpg
Layla,Benjelloun,pmearsb@jalbum.net,8541 Mesta Street,TW822269,186455726682412081933399,Marrakesh,1994-11-24 13:10:24,Peoples Bank,Instructor,0645599742,,1,4265111,https://randomuser.me/api/portraits/men/3.jpg
Ahmed,Zidane,hbackwellc@smh.com.au,5 1st Plaza,NC619354,431716299308423039861642,Oujda,1973-07-04 18:54:47,Peoples Bank,Professor,0613114260,7024,1,0821365,https://randomuser.me/api/portraits/men/3.jpg
Nour,El Amrani,sbradfieldd@cocolog-nifty.com,144 Derek Pass,EI080949,489110618052380484929907,Meknes,1973-05-01 14:03:39,City Bank,Instructor,0680173327,,1,7104847,https://randomuser.me/api/portraits/men/3.jpg
